location,latitude,longitude,year
MPB-B10-32,49.485999,-114.491486,2024
MPB-B10-33,49.4832035,-114.491209,2024
MPB-B10-35,49.474786,-114.48026,2024
MPB-B10-36,49.48009,-114.48991,2024
MPB-B10-37,49.472876,-114.483408,2024
MPB-B10-715,49.4881405,-114.48521,2024
MPB-B10-716,49.4900515,-114.4817895,2024
MPB-B10-717,49.4935285,-114.4848895,2024
MPB-B10-718,49.485621,-114.481766,2024
MPB-B10-719,49.4831645,-114.479695,2024
MPB-B10-720,49.4791665,-114.4763695,2024
MPB-B2-35,53.024896,-118.112531,2024
MPB-B2-36,53.024337,-118.124709,2024
MPB-B2-37,53.027565,-118.12733,2024
MPB-B2-39,53.032641,-118.127272,2024
MPB-B2-40,53.042846,-118.127423,2024
MPB-B2-41,53.048107,-118.126163,2024
MPB-B2-42,53.054302,-118.118713,2024
MPB-B2-43,53.057355,-118.11454,2024
MPB-B2-44,53.064658,-118.109007,2024
MPB-B2-45,53.068973,-118.10359,2024
MPB-B2-46,53.072353,-118.103118,2024
MPB-B2-47,53.080043,-118.096292,2024
MPB-B2-48,53.081108,-118.088299,2024
MPB-B2-49,53.083908,-118.083537,2024
MPB-B2-50,53.121242,-118.032797,2024
MPB-B2-53,53.13204,-118.027532,2024
MPB-B2-54,53.134624,-118.031087,2024
MPB-B2-55,53.136057,-118.025637,2024
MPB-B2-56,53.138251,-118.031862,2024
MPB-B2-57,53.139147,-118.027136,2024
MPB-B2-58,53.14407,-118.023671,2024
MPB-B2-59,53.148365,-118.023118,2024
MPB-B5-73,49.07523,-113.979704,2024
MPB-B5-74,49.077067,-113.976311,2024
MPB-H10-01,49.073129,-113.64673,2024
MPB-H10-101,49.4439895,-114.420109,2024
MPB-H10-102,49.446341,-114.4177455,2024
MPB-H10-107,49.471144,-114.479379,2024
MPB-H10-120,49.568117,-114.477203,2024
MPB-H10-125,49.565374,-114.47806,2024
MPB-H10-18,49.022808,-113.608323,2024
MPB-H10-20,49.01866,-113.609517,2024
MPB-H10-21,49.015556,-113.612701,2024
MPB-H10-23,49.012661,-113.61979,2024
MPB-H10-24,49.014965,-113.617561,2024
MPB-H10-24,49.000097,-113.645003,2024
MPB-H10-25,49.002168,-113.6420175,2024
MPB-H10-27,49.00131,-113.636304,2024
MPB-H10-28,49.00626,-113.624816,2024
MPB-H10-29,49.003699,-113.631847,2024
MPB-H10-30,49.006416,-113.630058,2024
MPB-H10-31,49.009106,-113.628014,2024
MPB-H10-32,49.01227,-113.624473,2024
MPB-H10-33,49.012987,-113.631566,2024
MPB-H10-34,49.008324,-113.63312,2024
MPB-H10-35,49.0125845,-113.6358815,2024
MPB-H10-36,49.010466,-113.639947,2024
MPB-H10-37,49.0086715,-113.642868,2024
MPB-H10-38,49.006708,-113.6392195,2024
MPB-H10-39,49.0071285,-113.648443,2024
MPB-H10-40,49.0045695,-113.646702,2024
MPB-H10-721,49.561383,-114.472733,2024
MPB-H10-722,49.561353,-114.472725,2024
MPB-H10-723,49.5822555,-114.4433415,2024
MPB-H10-724,49.585062,-114.443875,2024
MPB-H10-999,49.022517,-113.621543,2024
MPB-H13-21,52.869903,-118.120698,2024
MPB-H13-22,52.871708,-118.117292,2024
MPB-H15-23,52.872952,-118.121615,2024
MPB-H15-24,52.872819,-118.127208,2024
MPB-H15-25,52.875609,-118.126941,2024
MPB-H16-09,52.873485,-118.055814,2024
MPB-H16-10,52.875571,-118.052234,2024
MPB-H16-14,52.872808,-118.051757,2024
MPB-H19-31,52.887938,-118.088702,2024
MPB-H3-01,52.907133,-118.012417,2024
MPB-H5-17,52.866926,-118.12178,2024
MPB-H5-18,52.8668,-118.12659,2024
MPB-H5-19,52.864105,-118.128273,2024
MPB-H5-20,52.872615,-118.137165,2024
MPB-H5-26,52.884307,-118.097333,2024
MPB-H5-27,52.884663,-118.102121,2024
MPB-H5-28,52.8862,-118.107265,2024
MPB-H5-29,52.888726,-118.113657,2024
MPB-H5-30,52.892833,-118.109437,2024
MPB-H5-32,52.898199,-118.104949,2024
MPB-H5-33,52.898548,-118.109698,2024
MPB-H5-34,52.899597,-118.091687,2024
MPB-S10-01,49.061122,-113.629881,2024
MPB-S10-02,49.067053,-113.628437,2024
MPB-S10-04,49.065693,-113.622916,2024
MPB-S10-05,49.061221,-113.619418,2024
MPB-S10-11,49.058081,-113.629891,2024
MPB-S10-12,49.063969,-113.628687,2024
MPB-S10-141,49.374357,-114.328214,2024
MPB-S10-142,49.377563,-114.326907,2024
MPB-S10-159,49.335439,-114.330025,2024
MPB-S10-160,49.3383,-114.3316725,2024
MPB-S10-174,49.37622,-114.3610565,2024
MPB-S10-175,49.3732575,-114.3648225,2024
MPB-S10-176,49.3682935,-114.3805665,2024
MPB-S10-177,49.371843,-114.3685105,2024
MPB-S10-178,49.370257,-114.3720215,2024
MPB-S10-180,49.3688865,-114.3855695,2024
MPB-S10-181,49.369308,-114.376251,2024
MPB-S10-182,49.3790315,-114.3601145,2024
MPB-S10-183,49.37456,-114.368677,2024
MPB-S10-184,49.3775005,-114.367716,2024
MPB-S10-187,49.402857,-114.403004,2024
MPB-S10-190,49.4126085,-114.405797,2024
MPB-S10-191,49.419889,-114.4055545,2024
MPB-S10-197,49.417402,-114.404977,2024
MPB-S10-198,49.4255815,-114.4082305,2024
MPB-S10-199,49.4100275,-114.4038,2024
MPB-S10-200,49.4069895,-114.403717,2024
MPB-S15-201,49.3966525,-114.4042675,2024
MPB-S10-245,49.430182,-114.404857,2024
MPB-S10-246,49.423487,-114.4049515,2024
MPB-S10-32,49.0110495,-113.646002,2024
MPB-S10-329,48.9985645,-113.6530355,2024
MPB-S10-33,49.013329,-113.6420825,2024
MPB-S10-34,49.017436,-113.634036,2024
MPB-S10-40,49.023975,-113.627322,2024
MPB-S10-41,49.025336,-113.624278,2024
MPB-S10-42,49.027041,-113.620566,2024
MPB-S10-700,49.40775,-114.3631915,2024
MPB-S10-710,49.353677,-114.32164,2024
MPB-S10-711,49.354075,-114.3165015,2024
MPB-S10-712,49.356355,-114.317634,2024
