"location","visityear","mpbyear","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","latitude","longitude","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m","disturbance_year","treatment","TSD","AMRO","DEJU","RBNU","SWTH","YRWA","CHSP","WTSP","WWCR","PISI","HETH","MOCH","MODO","WETA","CEDW","NOFL","OSFL","HAFL","WAVI","WEWP","BBMA","ATTW","HAWO","RCKI","VATH","OCWA","TEWA","EVGR","LISP","BHGR","DUFL","EUST","MGWA","NHWR","NOWA","WCSP","WEFL","WIFL","YEWA","FOSP","GRCA","WIWA","BARS","GCKI","RNSA","ALFL","RBGR","VEER","YBSA","LEFL","VESP","BRSP","CCSP","SAVS","CLNU","BCCH","BHVI","CAVI","REVI","AMRE","PIWO","SOSP","TOSO","HDFL","TOWA","MOBL","PAWR","EAKI","COYE","DOWO","BBWO","MAWA","OVEN","WIWR","LAZB","BOCH","BRCR","LCSP","WBNU","PUFI","AMGO","HOSP","PIGR","CAFI","YBFL"
"MPB-B1-1",2023,2016,70653.54093,255174.8081,650293.561,2,2,2,2,2,2,64045.19475,193204.5207,437359.1061,53.168367,-118.036606,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-10",2023,2016,51733.03101,177306.152,569698.7463,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.102538,-118.061879,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-11",2023,2016,68423.9606,238241.5975,624458.9324,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.100036,-118.059144,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-12",2023,2016,56272.68438,182216.0717,407341.1597,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.096546,-118.060372,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-14",2023,2016,55415.19162,142441.416,214630.4978,2,2,2,2,2,2,70653.54093,282614.1637,780902.031,53.08415,-118.092109,2022,2022,2022,2022,2022,2021,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-15",2023,2016,49970.95965,132610.3168,339750.2365,2,2,2,2,4,3,70653.54093,282614.1637,785039.3436,53.060699,-118.114078,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-16",2023,2016,67606.54435,251098.9274,553460.6244,0,0,0,0,0,0,70653.54093,282614.1637,785039.3436,53.05830226,-118.1213429,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-17",2023,2016,61109.67812,214715.0909,477318.743,2,2,2,2,3,2,70653.54093,282614.1637,785039.3436,53.04022,-118.136878,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-18",2023,2016,67604.07959,251091.7053,553450.668,0,0,0,0,0,0,70653.54093,282614.1637,785039.3436,53.058302,-118.121343,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-19",2023,2016,70197.71227,264851.4982,619229.1525,2,2,2,2,2,0,70653.54093,259469.0804,488960.103,53.028697,-118.104232,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
