"location","latitude","longitude","year","BY150m","BY300m","geometry","FY150m","FY300m","FY500m"
"MPB-B10-32",49.485999,-114.491486,2024,NA,1982,c(536815.959559179, 5479415.00486195),NA,NA,NA
"MPB-B10-33",49.4832035,-114.491209,2024,NA,1982,c(536838.111340905, 5479104.47780427),NA,NA,NA
"MPB-B10-35",49.474786,-114.48026,2024,NA,1982,c(537637.301518528, 5478174.45603724),NA,NA,2003
"MPB-B10-36",49.48009,-114.48991,2024,NA,1982,c(536934.504499902, 5478759.11215601),NA,NA,NA
"MPB-B10-37",49.472876,-114.483408,2024,NA,1982,c(537410.792763693, 5477960.63206529),NA,NA,2003
"MPB-B10-715",49.4881405,-114.48521,2024,1982,1982,c(537268.70881953, 5479656.07351467),NA,NA,NA
"MPB-B10-716",49.4900515,-114.4817895,2024,1982,1982,c(537514.877747239, 5479870.13922411),NA,NA,2003
"MPB-B10-717",49.4935285,-114.4848895,2024,1982,1982,c(537287.818706801, 5480254.99816129),NA,NA,2003
"MPB-B10-718",49.485621,-114.481766,2024,1982,1982,c(537519.964799604, 5479377.79167623),NA,NA,NA
"MPB-B10-719",49.4831645,-114.479695,2024,1982,1982,c(537671.788536546, 5479105.83535343),NA,NA,NA
"MPB-B10-720",49.4791665,-114.4763695,2024,1982,1982,c(537915.651417857, 5478663.20775027),NA,NA,NA
"MPB-B5-73",49.07523,-113.979704,2024,NA,1982,c(574484.195186871, 5434144.71143248),NA,2017,2017
"MPB-B5-74",49.077067,-113.976311,2024,NA,1982,c(574729.133128581, 5434352.17699039),NA,NA,2017
"MPB-H10-01",49.073129,-113.64673,2024,NA,1984,c(598795.750857304, 5434291.72710937),NA,NA,NA
"MPB-H10-101",49.4439895,-114.420109,2024,1982,1982,c(542019.476356696, 5474783.85197358),NA,2003,2003
"MPB-H10-102",49.446341,-114.4177455,2024,1989,1989,c(542188.719263131, 5475046.49030166),NA,2003,2003
"MPB-H10-107",49.471144,-114.479379,2024,NA,1982,c(537703.894857478, 5477770.1637448),2003,2003,2003
"MPB-H10-120",49.568117,-114.477203,2024,1982,1982,c(537786.686423521, 5488547.87320243),NA,NA,NA
"MPB-H10-125",49.565374,-114.47806,2024,1982,1982,c(537726.858228742, 5488242.6109987),NA,NA,2003
"MPB-H10-18",49.022808,-113.608323,2024,NA,1984,c(601702.180493766, 5428750.95753906),2003,2003,2003
"MPB-H10-20",49.01866,-113.609517,2024,NA,1984,c(601623.372934831, 5428288.44609262),NA,NA,2003
"MPB-H10-21",49.015556,-113.612701,2024,NA,1984,c(601396.982379769, 5427939.28106527),NA,NA,2003
"MPB-H10-23",49.012661,-113.61979,2024,NA,1984,c(600884.715576253, 5427608.15075509),2003,2003,2003
"MPB-H10-24",49.014965,-113.617561,2024,NA,1980,c(601042.973351868, 5427867.12881004),NA,2003,2003
"MPB-H10-24",49.000097,-113.645003,2024,NA,1984,c(599066.775525727, 5426178.87121368),NA,NA,2003
"MPB-H10-25",49.002168,-113.6420175,2024,NA,1984,c(599280.929107901, 5426412.89422624),NA,NA,NA
"MPB-H10-27",49.00131,-113.636304,2024,NA,1984,c(599700.340196638, 5426325.04529092),NA,NA,2003
"MPB-H10-28",49.00626,-113.624816,2024,1980,1980,c(600530.244362897, 5426890.22475401),2003,2003,2003
"MPB-H10-29",49.003699,-113.631847,2024,1980,1980,c(600021.399600385, 5426596.3663554),2003,2003,2003
"MPB-H10-30",49.006416,-113.630058,2024,1980,1981,c(600146.73502865, 5426900.62888972),2003,2003,2003
"MPB-H10-31",49.009106,-113.628014,2024,1980,1981,c(600290.749947596, 5427202.23137126),2003,2003,2003
"MPB-H10-32",49.01227,-113.624473,2024,NA,1984,c(600543.214197846, 5427558.48940134),2003,2003,2003
"MPB-H10-33",49.012987,-113.631566,2024,1981,1981,c(600023.333228986, 5427628.78717561),2003,2003,2003
"MPB-H10-34",49.008324,-113.63312,2024,1981,1981,c(599919.081473254, 5427108.60346674),2003,2003,2003
"MPB-H10-35",49.0125845,-113.6358815,2024,1981,1981,c(599708.71137368, 5427578.38386216),2003,2003,2003
"MPB-H10-36",49.010466,-113.639947,2024,1981,1981,c(599415.774655118, 5427337.64974552),2003,2003,2003
"MPB-H10-37",49.0086715,-113.642868,2024,1981,1981,c(599205.829608741, 5427134.42870267),2003,2003,2003
"MPB-H10-38",49.006708,-113.6392195,2024,NA,1981,c(599476.438530449, 5426921.02680097),2003,2003,2003
"MPB-H10-39",49.0071285,-113.648443,2024,NA,1981,c(598801.363027363, 5426955.70338909),2003,2003,2003
"MPB-H10-40",49.0045695,-113.646702,2024,NA,1981,c(598933.700269846, 5426673.62387155),2003,2003,2003
"MPB-H10-721",49.561383,-114.472733,2024,1982,1982,c(538115.009298391, 5487801.77098217),2003,2003,2003
"MPB-H10-722",49.561353,-114.472725,2024,1982,1982,c(538115.610950859, 5487798.4411063),2003,2003,2003
"MPB-H10-723",49.5822555,-114.4433415,2024,1982,1982,c(540222.492693037, 5490136.64906085),NA,NA,NA
"MPB-H10-724",49.585062,-114.443875,2024,1982,1982,c(540181.638862525, 5490448.25383415),NA,NA,NA
"MPB-H10-999",49.022517,-113.621543,2024,1980,1980,c(600736.691298006, 5428700.98759627),NA,2003,2003
"MPB-S10-01",49.061122,-113.629881,2024,1984,1984,c(600049.890558931, 5432979.629045),NA,NA,NA
"MPB-S10-02",49.067053,-113.628437,2024,1984,1984,c(600143.412282631, 5433640.57328842),NA,NA,NA
"MPB-S10-04",49.065693,-113.622916,2024,1984,1984,c(600549.256625811, 5433496.75949015),NA,NA,NA
"MPB-S10-05",49.061221,-113.619418,2024,1984,1984,c(600813.706916452, 5433004.48635992),NA,NA,NA
"MPB-S10-11",49.058081,-113.629891,2024,1980,1980,c(600055.265362778, 5432641.7076215),NA,NA,NA
"MPB-S10-12",49.063969,-113.628687,2024,1984,1984,c(600131.356592073, 5433297.55656224),NA,NA,NA
"MPB-S10-141",49.374357,-114.328214,2024,1982,1982,c(548747.135386905, 5467101.02762879),NA,NA,NA
"MPB-S10-142",49.377563,-114.326907,2024,1982,1982,c(548838.798363913, 5467458.14525395),NA,NA,NA
"MPB-S10-159",49.335439,-114.330025,2024,1979,1979,c(548654.096986085, 5462775.03885703),NA,NA,NA
"MPB-S10-160",49.3383,-114.3316725,2024,1979,1979,c(548531.641847128, 5463091.91084594),NA,NA,NA
"MPB-S10-174",49.37622,-114.3610565,2024,1978,1989,c(546362.231950824, 5467287.36716231),NA,NA,NA
"MPB-S10-175",49.3732575,-114.3648225,2024,1989,1989,c(546091.739924269, 5466955.84725623),NA,NA,NA
"MPB-S10-176",49.3682935,-114.3805665,2024,1981,1982,c(544953.807609152, 5466394.71927018),NA,NA,NA
"MPB-S10-177",49.371843,-114.3685105,2024,1981,1989,c(545825.436281113, 5466796.41291256),NA,NA,NA
"MPB-S10-178",49.370257,-114.3720215,2024,1981,1981,c(545572.12044638, 5466618.04021421),NA,NA,NA
"MPB-S10-180",49.3688865,-114.3855695,2024,1981,1981,c(544590.193408789, 5466457.65051188),NA,NA,NA
"MPB-S10-181",49.369308,-114.376251,2024,1981,1981,c(545266.060692844, 5466510.03616062),NA,NA,NA
"MPB-S10-182",49.3790315,-114.3601145,2024,1978,1978,c(546427.935223272, 5467600.37978903),NA,NA,NA
"MPB-S10-183",49.37456,-114.368677,2024,1981,1989,c(545810.828813324, 5467098.24383435),NA,NA,NA
"MPB-S10-184",49.3775005,-114.367716,2024,1979,1979,c(545877.824547938, 5467425.59648282),NA,NA,NA
"MPB-S10-187",49.402857,-114.403004,2024,1982,1982,c(543295.09097869, 5470222.54968444),NA,NA,NA
"MPB-S10-190",49.4126085,-114.405797,2024,1982,1982,c(543084.005000472, 5471304.61309297),NA,NA,NA
"MPB-S10-191",49.419889,-114.4055545,2024,1982,1982,c(543095.212731987, 5472113.81834661),NA,NA,NA
"MPB-S10-197",49.417402,-114.404977,2024,1982,1982,c(543139.259163173, 5471837.77319922),NA,NA,NA
"MPB-S10-198",49.4255815,-114.4082305,2024,1982,1982,c(542896.250491159, 5472744.88942861),NA,NA,NA
"MPB-S10-199",49.4100275,-114.4038,2024,1982,1982,c(543231.067670963, 5471018.9345501),NA,NA,NA
"MPB-S10-200",49.4069895,-114.403717,2024,1982,1982,c(543239.754189078, 5470681.37599052),NA,NA,NA
"MPB-S15-201",49.3966525,-114.4042675,2024,1982,1982,c(543208.903846575, 5469532.33434989),NA,NA,NA
"MPB-S10-245",49.430182,-114.404857,2024,1982,1982,c(543136.753913185, 5473258.05831999),NA,NA,2003
"MPB-S10-246",49.423487,-114.4049515,2024,1982,1982,c(543135.773830987, 5472514.00158492),NA,NA,NA
"MPB-S10-32",49.0110495,-113.646002,2024,1981,1981,c(598972.027069979, 5427394.57229234),NA,2003,2003
"MPB-S10-329",48.9985645,-113.6530355,2024,NA,1984,c(598482.538798459, 5425998.13272172),NA,NA,NA
"MPB-S10-33",49.013329,-113.6420825,2024,1981,1981,c(599253.98774728, 5427652.98161206),NA,NA,2003
"MPB-S10-34",49.017436,-113.634036,2024,1981,1981,c(599833.898978809, 5428119.89279702),NA,NA,NA
"MPB-S10-40",49.023975,-113.627322,2024,1980,1982,c(600311.446300477, 5428855.33979189),NA,NA,NA
