"","location","latitude","longitude","year","BY150m","BY300m","geometry"
"1","MPB-B10-32",49.485999,-114.491486,2024,NA,NA,c(6984696.2855739, 11533609.7605834)
"2","MPB-B10-33",49.4832035,-114.491209,2024,NA,NA,c(6985009.1767694, 11533576.0518543)
"3","MPB-B10-35",49.474786,-114.48026,2024,NA,NA,c(6986077.82136043, 11534204.1022491)
"4","MPB-B10-36",49.48009,-114.48991,2024,NA,NA,c(6985370.04860573, 11533609.9436068)
"5","MPB-B10-37",49.472876,-114.483408,2024,NA,NA,c(6986249.85679072, 11533940.3926459)
"6","MPB-B10-715",49.4881405,-114.48521,2024,NA,NA,c(6984537.74855969, 11534103.4420105)
"7","MPB-B10-716",49.4900515,-114.4817895,2024,NA,NA,c(6984368.98977934, 11534386.7710469)
"8","MPB-B10-717",49.4935285,-114.4848895,2024,NA,NA,c(6983945.3506136, 11534229.9858399)
"9","MPB-B10-718",49.485621,-114.481766,2024,NA,NA,c(6984859.6983432, 11534303.4308292)
"10","MPB-B10-719",49.4831645,-114.479695,2024,NA,NA,c(6985157.5003681, 11534405.6353896)
"11","MPB-B10-720",49.4791665,-114.4763695,2024,NA,NA,c(6985641.60585701, 11534568.7504096)
"12","MPB-B5-73",49.07523,-113.979704,2024,NA,2017,c(7036466.47574038, 11562890.8511459)
"13","MPB-B5-74",49.077067,-113.976311,2024,NA,NA,c(7036304.76196511, 11563171.4691847)
"14","MPB-H10-01",49.073129,-113.64673,2024,NA,NA,c(7040722.53820204, 11587048.6070362)
"15","MPB-H10-101",49.4439895,-114.420109,2024,NA,2003,c(6990237.46078178, 11537953.9132613)
"16","MPB-H10-102",49.446341,-114.4177455,2024,NA,2003,c(6990006.65584295, 11538169.4345961)
"17","MPB-H10-107",49.471144,-114.479379,2024,2003,2003,c(6986491.94668474, 11534197.7584402)
"18","MPB-H10-120",49.568117,-114.477203,2024,NA,NA,c(6975783.46147047, 11536215.6917036)
"19","MPB-H10-125",49.565374,-114.47806,2024,NA,NA,c(6976076.50151935, 11536101.317024)
"20","MPB-H10-18",49.022808,-113.608323,2024,2003,2003,c(7046748.55633164, 11588926.7890601)
"21","MPB-H10-20",49.01866,-113.609517,2024,NA,NA,c(7047193.15494223, 11588764.6109204)
"22","MPB-H10-21",49.015556,-113.612701,2024,NA,NA,c(7047498.48880368, 11588476.5878398)
"23","MPB-H10-23",49.012661,-113.61979,2024,2003,2003,c(7047734.02708544, 11587908.2044314)
"24","MPB-H10-24",49.014965,-113.617561,2024,NA,2003,c(7047505.803689, 11588112.2430541)
"25","MPB-H10-24",49.000097,-113.645003,2024,NA,NA,c(7048822.14875783, 11585845.0883926)
"26","MPB-H10-25",49.002168,-113.6420175,2024,NA,NA,c(7048628.82409163, 11586100.0283563)
"27","MPB-H10-27",49.00131,-113.636304,2024,NA,NA,c(7048792.09768148, 11586500.2047276)
"28","MPB-H10-28",49.00626,-113.624816,2024,2003,2003,c(7048381.98455203, 11587426.1800045)
"29","MPB-H10-29",49.003699,-113.631847,2024,2003,2003,c(7048581.17660087, 11586867.9870895)
