"location","treatment","TSD","mdsA","mdsB"
"MPB-B1-1","burn",1,-0.193836502809491,0.224010602456516
"MPB-B1-10","burn",1,-0.197917292470796,-0.460263149627229
"MPB-B1-11","burn",1,0.0253120250974703,0.0717645017458979
"MPB-B1-12","burn",1,0.754294535651509,-0.0870833001801272
"MPB-B1-14","burn",1,-0.324163610571627,0.47051796504388
"MPB-B1-15","burn",1,0.144081947958231,0.0256036842351443
"MPB-B1-16","burn",1,0.318032586141683,0.284892598020972
"MPB-B1-17","burn",1,0.193888335707008,0.0879017642064444
"MPB-B1-18","burn",1,-0.0387384091740135,0.210780064581145
"MPB-B1-19","burn",1,0.0604696146476574,0.0243917368969046
"MPB-B1-20","burn",1,-0.0953686764629997,0.107258204218517
"MPB-B1-21","burn",1,0.363878879996139,0.316321996919072
"MPB-B1-3","burn",1,0.0312144647625153,0.148314727876195
"MPB-B1-4","burn",1,-0.285283997123396,-0.0685384659040337
"MPB-B1-5","burn",1,-0.121968992865097,-0.279345618328968
"MPB-B1-6","burn",1,0.220810367835184,0.534743808757992
"MPB-B1-7","burn",1,-0.453036093841124,0.577582769161442
"MPB-B1-8","burn",1,0.0637845636850611,0.376074359285068
"MPB-B1-9","burn",1,-0.232471324179094,0.503873334709866
"MPB-B2-35","burn",2,0.180957412792597,-0.0456620828221918
"MPB-B2-36","burn",2,-0.109155168053011,0.185567668924967
"MPB-B2-37","burn",2,0.390388966857071,-0.105877119471726
"MPB-B2-39","burn",2,0.112252821868401,0.178248863532287
"MPB-B2-40","burn",2,0.103721732238422,-0.0519198437724046
"MPB-B2-41","burn",2,0.419742018978602,0.0662322109667004
"MPB-B2-42","burn",2,0.212189642500887,-0.0948516164591949
"MPB-B2-43","burn",2,0.573913596000157,-0.0188237127471883
"MPB-B2-44","burn",2,0.0258562204742334,-0.00819628820216289
"MPB-B2-45","burn",2,-0.00321049328359878,0.452101083466756
"MPB-B2-46","burn",2,0.009226005304828,0.0932989734269476
"MPB-B2-47","burn",2,0.0504722219803591,0.0271407301857643
"MPB-B2-48","burn",2,0.935787126480438,0.448512071166399
"MPB-B2-49","burn",2,0.353498931744996,0.167081315152466
"MPB-B2-50","burn",2,-0.0247883612297824,0.440768125361874
"MPB-B2-53","burn",2,0.0939066637525112,0.218453373454764
"MPB-B2-54","burn",2,0.0594773013197727,0.320939838689179
"MPB-B2-55","burn",2,0.286147902023908,0.672317534601965
"MPB-B2-56","burn",2,0.7230346677733,0.184686121571539
"MPB-B2-57","burn",2,0.593238813564528,0.202000454081288
"MPB-B2-58","burn",2,0.127719982137676,0.357781787649162
"MPB-B2-59","burn",2,0.75868092057962,0.0482111817459479
"MPB-B5-918","standing",7,0.555822514279912,0.608062781081147
"MPB-B5-919","standing",7,0.191341845714452,0.870713913660569
"MPB-B5-920","standing",7,0.597658730047559,0.568698709038861
"MPB-B5-921","standing",7,0.0414347281415378,0.629025063736504
"MPB-B5-968","standing",7,0.116195125612215,0.688203071970201
"MPB-B5-969","standing",7,0.278576910155671,0.508846187043232
"MPB-B5-970","standing",7,0.128382431344838,0.0497639768951669
"MPB-B5-971","standing",7,0.374785462086834,0.542470511495387
"MPB-H1-900","harvest",3,0.403277576647513,-0.480712664639935
"MPB-H1-904","harvest",4,0.356763151387648,0.00208126489485216
"MPB-H1-905","harvest",4,0.152228927394834,-0.385308583839782
"MPB-H1-906","harvest",4,0.246838591684892,-0.201589696689171
"MPB-H1-954","harvest",4,0.715552697952303,-0.481595718657372
"MPB-H1-955","harvest",4,0.174241213255296,-0.54874284057535
"MPB-H1-956","harvest",4,0.430530492003822,-0.329549686191149
"MPB-H13-21","harvest",5,0.120296466822201,-0.110561239736875
"MPB-H13-22","harvest",4,0.217193913917944,-0.143382954008765
"MPB-H15-23","harvest",5,0.102194091634371,-0.325779976080694
"MPB-H15-24","harvest",5,0.039446500521838,-0.194822022854048
"MPB-H15-25","harvest",5,0.160758816727758,-0.199286026147317
"MPB-H16-10","harvest",3,0.158487560012458,-0.168543256038121
"MPB-H16-14","standing",8,0.319324023629478,-0.0333809208089679
"MPB-H19-31","harvest",2,0.0583080431296504,-0.580889013027351
"MPB-H5-17","harvest",5,0.253991476256063,-0.553425826423802
"MPB-H5-18","harvest",5,0.349982691753581,-0.516776897513581
"MPB-H5-19","harvest",5,0.350166351000878,-0.297088803877968
"MPB-H5-20","harvest",5,0.0706712573251242,-0.166837651956667
"MPB-H5-26","harvest",5,0.307480783869491,-0.33259789038263
"MPB-H5-27","harvest",5,0.426920509382083,-0.273697736274991
"MPB-H5-28","harvest",5,0.396039614602092,-0.231152337200221
"MPB-H5-29","harvest",5,0.255306408334259,-0.441624115941264
"MPB-H5-30","harvest",5,0.206141680179629,-0.028703714223837
"MPB-H5-32","harvest",5,0.631644142065834,-0.126994486235338
"MPB-H5-33","harvest",5,0.460827911374785,-0.166183631369108
"MPB-H5-34","harvest",5,0.297880361857345,-0.457274988411961
"MPB-S10-952","harvest",4,0.417171964242983,-0.69083695450607
"MPB-S5-1","standing",7,0.00816305488446539,-0.388282583373448
"MPB-S5-10","standing",7,-0.684127328574283,-0.497506465371339
"MPB-S5-11","standing",7,0.201659005984168,-0.256678921239962
"MPB-S5-12","burn",1,-0.0858213512551112,-0.607008019899252
"MPB-S5-14","standing",7,-0.664408681657632,-0.36618103794669
