"","SS","YEAR","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","DOMBURNCLASS150","DOMBURNCLASS300","DOMBURNCLASS500","location.x","latitude.x","longitude.x","year.x","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","location.y","latitude.y","longitude.y","year.y","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m"
"1","MPB-B1-1",2023,70653.540927799,255174.808050285,650293.560967115,2,2,2,2,2,2,64045.1947524659,193204.520710241,437359.106061055,0,0,0,"MPB-B1-1",53.168367,-118.036606,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-1",53.168367,-118.036606,2023,NA,NA,NA,NA,NA,NA
"2","MPB-B1-10",2023,51733.0310086641,177306.15202164,569698.746303445,2,2,2,2,2,2,70653.5409280714,282614.163712166,785039.343643975,0,0,0,"MPB-B1-10",53.102538,-118.061879,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-10",53.102538,-118.061879,2023,NA,NA,NA,NA,NA,NA
"3","MPB-B1-11",2023,68423.9606030742,238241.597466998,624458.932413631,2,2,2,2,2,2,70653.5409279019,282614.163711734,785039.343643911,0,0,0,"MPB-B1-11",53.100036,-118.059144,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-11",53.100036,-118.059144,2023,NA,NA,NA,NA,NA,NA
"4","MPB-B1-12",2023,56272.6843829649,182216.071679469,407341.159657003,2,2,2,2,2,2,70653.5409279603,282614.163712166,785039.343644563,0,0,0,"MPB-B1-12",53.096546,-118.060372,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-12",53.096546,-118.060372,2023,NA,NA,NA,NA,NA,NA
"5","MPB-B1-14",2023,55415.1916172323,142441.416003227,214630.497806668,2,2,2,2,2,2,70653.5409279261,282614.163711792,780902.031048551,0,0,0,"MPB-B1-14",53.08415,-118.092109,2023,2022,2022,2022,2022,2022,2021,0,0,0,"MPB-B1-14",53.08415,-118.092109,2023,NA,NA,NA,NA,NA,NA
"6","MPB-B1-15",2023,49970.9596454361,132610.316774066,339750.236457178,2,2,2,2,4,3,70653.5409278721,282614.163711913,785039.343643878,0,0,0,"MPB-B1-15",53.060699,-118.114078,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-15",53.060699,-118.114078,2023,NA,NA,NA,NA,NA,NA
"7","MPB-B1-16",2023,67606.5443537342,251098.927387582,553460.62444837,0,0,0,0,0,0,70653.5409278804,282614.163712038,785039.343643311,0,0,0,"MPB-B1-16",53.05830226,-118.1213429,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-16",53.05830226,-118.1213429,2023,NA,NA,NA,NA,NA,NA
"8","MPB-B1-17",2023,61109.6781231142,214715.09091574,477318.742967291,2,2,2,2,3,2,70653.540928103,282614.163711909,785039.343643941,0,0,0,"MPB-B1-17",53.04022,-118.136878,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-17",53.04022,-118.136878,2023,NA,NA,NA,NA,NA,NA
"9","MPB-B1-18",2023,67604.0795917764,251091.705306755,553450.667983461,0,0,0,0,0,0,70653.5409278953,282614.163712054,785039.343644645,0,0,0,"MPB-B1-18",53.058302,-118.121343,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-18",53.058302,-118.121343,2023,NA,NA,NA,NA,NA,NA
"10","MPB-B1-19",2023,70197.712274119,264851.498166305,619229.15251338,2,2,2,2,2,0,70653.5409281496,259469.080383647,488960.102992147,0,0,0,"MPB-B1-19",53.028697,-118.104232,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-19",53.028697,-118.104232,2023,NA,NA,NA,NA,NA,NA
"11","MPB-B1-20",2023,65242.4549647169,263062.825112553,685874.303749992,2,2,2,2,2,2,60497.4085985422,206016.075239513,531385.969723131,0,0,0,"MPB-B1-20",53.026393,-118.106484,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-20",53.026393,-118.106484,2023,NA,NA,NA,NA,NA,NA
"12","MPB-B1-21",2023,9450.92250591284,81907.040854957,258543.813042054,0,0,0,0,0,0,70653.5409278655,282278.065617874,698475.257507332,0,0,0,"MPB-B1-21",53.076598,-118.098008,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-21",53.076598,-118.098008,2023,NA,NA,NA,NA,NA,NA
"13","MPB-B1-3",2023,70653.5409280043,261006.233167729,641889.189695107,3,2,3,2,2,2,70653.5409279186,282614.163711971,785039.343644161,0,0,0,"MPB-B1-3",53.150976,-118.030968,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-3",53.150976,-118.030968,2023,NA,NA,NA,NA,NA,NA
"14","MPB-B1-4",2023,55187.100104331,232423.931703994,517365.509401409,2,2,3,2,2,2,62846.9269613102,213058.598733258,421215.455497339,0,0,0,"MPB-B1-4",53.15801,-118.040903,2023,2022,2022,2022,2022,2022,2021,0,0,0,"MPB-B1-4",53.15801,-118.040903,2023,NA,NA,NA,NA,NA,NA
"15","MPB-B1-5",2023,58889.6993893401,226784.433675265,634249.904238755,3,2,2,2,2,2,70653.5409279037,251748.366389515,634317.026042027,0,0,0,"MPB-B1-5",53.151548,-118.041689,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-5",53.151548,-118.041689,2023,NA,NA,NA,NA,NA,NA
"16","MPB-B1-6",2023,69467.2781162132,260255.971931849,652531.248552172,2,2,2,2,2,2,70653.5409280909,282614.163711842,785039.343643598,0,0,0,"MPB-B1-6",53.125305,-118.037841,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-6",53.125305,-118.037841,2023,NA,NA,NA,NA,NA,NA
"17","MPB-B1-7",2023,66606.0254584337,248789.077845749,652534.343542715,2,2,2,2,2,2,70653.5409279121,282614.163711848,785039.343644127,0,0,0,"MPB-B1-7",53.1276,-118.042694,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-7",53.1276,-118.042694,2023,NA,NA,NA,NA,NA,NA
"18","MPB-B1-8",2023,54673.883704775,164949.329371352,536032.976491555,0,0,2,2,2,2,70653.540927995,282614.163711786,785039.343645073,0,0,0,"MPB-B1-8",53.121557,-118.042921,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-8",53.121557,-118.042921,2023,NA,NA,NA,NA,NA,NA
"19","MPB-B1-9",2023,70653.5409279726,282614.163711734,692564.108765325,2,2,2,2,2,2,70653.5409278851,282614.163712019,785039.343645014,0,0,0,"MPB-B1-9",53.11894,-118.035849,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-9",53.11894,-118.035849,2023,NA,NA,NA,NA,NA,NA
"20","MPB-B2-35",2024,70653.5409280111,257007.597488181,587875.968714655,2,2,2,2,2,2,70653.5409281123,258540.10672904,565403.697836726,0,0,0,"MPB-B2-35",53.024896,-118.112531,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-35",53.024896,-118.112531,2024,NA,NA,NA,NA,NA,NA
"21","MPB-B2-36",2024,70309.5124685538,256195.111139037,699266.163736212,2,2,2,2,2,2,70653.540927981,229813.944738954,547144.934553428,0,0,0,"MPB-B2-36",53.024337,-118.124709,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-36",53.024337,-118.124709,2024,NA,NA,NA,NA,NA,NA
"22","MPB-B2-37",2024,70653.5407327443,280688.470751262,664126.495715158,2,3,2,3,2,3,70653.5409281747,246816.886513599,654068.963575417,0,0,0,"MPB-B2-37",53.027565,-118.12733,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-37",53.027565,-118.12733,2024,NA,NA,NA,NA,NA,NA
"23","MPB-B2-39",2024,70653.5401239751,248898.291849454,554177.901882371,3,3,3,3,3,3,70653.5409280183,280862.222214526,732979.521444323,0,0,0,"MPB-B2-39",53.032641,-118.127272,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-39",53.032641,-118.127272,2024,NA,NA,NA,NA,NA,NA
"24","MPB-B2-40",2024,1.95522920018993,23393.3879895564,104922.619798602,0,0,0,0,0,0,70653.5409279354,282614.163712131,785039.343644556,0,0,0,"MPB-B2-40",53.042846,-118.127423,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-40",53.042846,-118.127423,2024,NA,NA,NA,NA,NA,NA
